direction,title,primary_tag_l1,secondary_tags_l2
古风权贵女频,《侯府弱女三条毒计，吓哭皇帝》,古风/古代,
古风权贵女频,《替嫁当天，我让王府全员改命》,奇幻/系统,白月光/替身
古风权贵女频,《嫡女归来，先把纨绔爹养成权臣》,古风/古代,宫斗宅斗、权谋
奇幻系统/AI漫剧,《绑定心声系统后，我让全家逆天改命》,奇幻/系统,系统任务
奇幻系统/AI漫剧,《灵气复苏当天，我成了唯一清醒的人》,奇幻/系统,末世异能
奇幻系统/AI漫剧,《真人AI版：天道崩坏时》,奇幻/系统,
奇幻系统/AI漫剧,《末世降临前，我靠预知系统囤满全城》,奇幻/系统,系统任务、末世异能
奇幻系统/AI漫剧,《神豪系统觉醒后，前夫全家跪了》,逆袭/爽文,神豪、系统任务
奇幻系统/AI漫剧,《修仙归来，我成了豪门月嫂》,豪门/总裁,豪门恩怨、修仙升级
奇幻系统/AI漫剧,《全家炮灰命觉醒后，我绑定改命系统》,奇幻/系统,系统任务
奇幻系统/AI漫剧,《AI重启后，我看见了所有人的结局》,其他,
奇幻系统/AI漫剧,《菩提临世，真人AI版》,奇幻/系统,
奇幻系统/AI漫剧,《我被天道选中后，全城都听见我心声》,奇幻/系统,
奇幻系统/AI漫剧,《绑定读心术后，我治好了豪门全家》,奇幻/系统,豪门恩怨
奇幻系统/AI漫剧,《末世女王回到八零，带全家奔小康》,穿越/重生,女强、末世异能
奇幻系统/AI漫剧,《修仙多年强亿点，回家却被当废物》,奇幻/系统,修仙升级、亲情救赎
奇幻系统/AI漫剧,《高能漫剧：我靠系统把仇人送进火葬场》,奇幻/系统,追妻火葬场、系统任务
奇幻系统/AI漫剧,《预知三天后，我先让渣男破产》,奇幻/系统,
奇幻系统/AI漫剧,《我能听见弹幕，全家命运改写了》,家庭/亲情,
奇幻系统/AI漫剧,《魔尊归来后，成了三个萌宝的爹》,奇幻/系统,萌宝
奇幻系统/AI漫剧,《绑定神医系统后，豪门全家排队求我》,奇幻/系统,豪门恩怨、神医/玄学、系统任务
奇幻系统/AI漫剧,《天命小祖宗，三岁半就能改国运》,奇幻/系统,
奇幻系统/AI漫剧,《仿真人漫：全城等我认输》,其他,
